"","Mgmt","Dist","ft","group","-2","100"
"49","Diameter-Limit Timber Cut","No Disturbance","Oak-Mixed Hardwood - 'Mesic'","12.5 ~ 27.5 cm",27.3732172861385,96.9468480981253
"50","Diameter-Limit Timber Cut","No Disturbance","Oak-Mixed Hardwood - 'Mesic'","27.5 ~ 52.5 cm",77.1411046495411,32.5814518569526
"51","Diameter-Limit Timber Cut","No Disturbance","Oak-Mixed Hardwood - 'Mesic'","< 12.5 cm",11.5484064496081,7.80676669224528
"52","Diameter-Limit Timber Cut","No Disturbance","Oak-Mixed Hardwood - 'Mesic'","> 52.5 cm",31.7605867519842,NA
"53","Diameter-Limit Timber Cut","No Disturbance","Oak-Mixed Hardwood - 'Xeric'","12.5 ~ 27.5 cm",34.3135931045564,74.9056443807388
"54","Diameter-Limit Timber Cut","No Disturbance","Oak-Mixed Hardwood - 'Xeric'","27.5 ~ 52.5 cm",72.6745294510142,31.2322131950874
"55","Diameter-Limit Timber Cut","No Disturbance","Oak-Mixed Hardwood - 'Xeric'","< 12.5 cm",16.3740760642681,7.32554718454664
"56","Diameter-Limit Timber Cut","No Disturbance","Oak-Mixed Hardwood - 'Xeric'","> 52.5 cm",19.9858973069853,NA
"57","Diameter-Limit Timber Cut","No Disturbance","Northern Hardwood - 'Mesic'","12.5 ~ 27.5 cm",32.5528715755771,99.7750816548592
"58","Diameter-Limit Timber Cut","No Disturbance","Northern Hardwood - 'Mesic'","27.5 ~ 52.5 cm",76.8842264677143,41.8168612955226
"59","Diameter-Limit Timber Cut","No Disturbance","Northern Hardwood - 'Mesic'","< 12.5 cm",21.770910225479,8.30224816494835
"60","Diameter-Limit Timber Cut","No Disturbance","Northern Hardwood - 'Mesic'","> 52.5 cm",19.0967641549625,NA
"61","Diameter-Limit Timber Cut","No Disturbance","Northern Hardwood - 'Xeric'","12.5 ~ 27.5 cm",40.3688804057717,94.1460233481207
"62","Diameter-Limit Timber Cut","No Disturbance","Northern Hardwood - 'Xeric'","27.5 ~ 52.5 cm",77.8318501004084,36.9066369600487
"63","Diameter-Limit Timber Cut","No Disturbance","Northern Hardwood - 'Xeric'","< 12.5 cm",21.6243959022244,7.28910066098735
"64","Diameter-Limit Timber Cut","No Disturbance","Northern Hardwood - 'Xeric'","> 52.5 cm",17.2738264667447,NA
"65","Diameter-Limit Timber Cut","Extreme Weather","Oak-Mixed Hardwood - 'Mesic'","12.5 ~ 27.5 cm",27.3732172861385,0.298615433077181
"66","Diameter-Limit Timber Cut","Extreme Weather","Oak-Mixed Hardwood - 'Mesic'","27.5 ~ 52.5 cm",77.1411046495411,NA
"67","Diameter-Limit Timber Cut","Extreme Weather","Oak-Mixed Hardwood - 'Mesic'","< 12.5 cm",11.5484064496081,33.4038500328086
"68","Diameter-Limit Timber Cut","Extreme Weather","Oak-Mixed Hardwood - 'Mesic'","> 52.5 cm",31.7605867519842,NA
"69","Diameter-Limit Timber Cut","Extreme Weather","Oak-Mixed Hardwood - 'Xeric'","12.5 ~ 27.5 cm",34.3135931045564,63.388412362583
"70","Diameter-Limit Timber Cut","Extreme Weather","Oak-Mixed Hardwood - 'Xeric'","27.5 ~ 52.5 cm",72.6745294510142,8.94674482804589e-07
"71","Diameter-Limit Timber Cut","Extreme Weather","Oak-Mixed Hardwood - 'Xeric'","< 12.5 cm",16.3740760642681,25.4931895734721
